ID,Site,Context,Longitude,Latitude,Country,Archaeological_Unit,File_Name,Reference,Notes
234,Tieply Ruchey,Tieply Ruchey II,33.73,56.67,Russia,Podolian,Tie.Ruch.II.1,Sinitsyna 2002; 2004,
235,Tieply Ruchey,Tieply Ruchey II,33.73,56.67,Russia,Podolian,Tie.Ruch.II.2,Sinitsyna 2002; 2004,
236,Tieply Ruchey,Tieply Ruchey II,33.73,56.67,Russia,Podolian,Tie.Ruch.II.3,Sinitsyna 2002; 2004,
237,Tieply Ruchey,Tieply Ruchey II,33.73,56.67,Russia,Podolian,Tie.Ruch.II.5,Sinitsyna 2002; 2004,
238,Bromme,Bromme,11.51,55.49,Denmark,Bromme (Western Europe),Bro.2,Taute 1968,
239,Bromme,Bromme,11.51,55.49,Denmark,Bromme (Western Europe),Bro.3,Taute 1968,
240,Bromme,Bromme,11.51,55.49,Denmark,Bromme (Western Europe),Bro.6,Taute 1968,
241,Bromme,Bromme,11.51,55.49,Denmark,Bromme (Western Europe),Bro.7,Taute 1968,
242,Bromme,Bromme,11.51,55.49,Denmark,Bromme (Western Europe),Bro.9,Taute 1968,
243,Bromme,Bromme,11.51,55.49,Denmark,Bromme (Western Europe),Bro.10,Taute 1968,
244,Bromme,Bromme,11.51,55.49,Denmark,Bromme (Western Europe),Bro.11,Taute 1968,
245,Bromme,Bromme,11.51,55.49,Denmark,Bromme (Western Europe),Bro.12,Taute 1968,
246,Bromme,Bromme,11.51,55.49,Denmark,Bromme (Western Europe),Bro.13,Taute 1968,
247,Bromme,Bromme,11.51,55.49,Denmark,Bromme (Western Europe),Bro.14,Taute 1968,
248,Bromme,Bromme,11.51,55.49,Denmark,Bromme (Western Europe),Bro.15,Taute 1968,
249,Trollesgave,Trollesgave,11.85,55.26,Denmark,Bromme (Western Europe),Troll.1,Fischer 1990,
250,Bro,Bro,9.97,55.53,Denmark,Bromme (Western Europe),Bro.66,Andersen 1972,
